TT,Câu hỏi,Phương án A,Phương án B,Phương án C,Phương án D,Phương án E,Đ.án đúng,Số văn bản tham chiếu (kèm trích yếu văn bản),Điều khoản tham chiếu cụ thể
58,"Trình tự, thủ tục xác định giá đất gồm mấy bước","3 Bước, cụ thể
Bước 1. Tổ chức thực hiện định giá đất tiến hành thu thập, tổng hợp và phân tích thông tin.
Bước 2. Lựa chọn phương pháp định giá đất
Bước 3. Xây dựng Báo cáo thuyết minh xây dựng phương án giá đất, dự thảo Chứng thư định giá đất","2 Bước, cụ thể
Bước 1. Tổ chức thực hiện định giá đất tiến hành thu thập, tổng hợp và phân tích thông tin và lựa chọn phương pháp định giá đất
Bước 2. Xây dựng Báo cáo thuyết minh xây dựng phương án giá đất, dự thảo Chứng thư định giá đất","3 Bước, cụ thể:
Bước 1. Tổ chức thực hiện định giá đất tiến hành tổng hợp thông tin
Bước 2. Xây dựng báo cáo thuyết minh xây dựng phương án giá đất.
Bước 3. Lựa chọn phương pháp định giá đất","4 Bước, cụ thể:
Bước 1. Tổ chức thực hiện định giá đất thu thập, tổng hợp và phân tích thông tin
Bước 2. Lựa chọn phương pháp định giá đất.
Bước 3. Xây dựng báo cáo thuyết minh
Bước 4. Dự thảo chứng thư định giá đất","2 Bước, cụ thể:
Bước 1. Tổ chức thực hiện phân tích thông tin
Bước 2. Lựa chọn phương pháp định giá đất",A,Nghị định 71/2024/NĐ-CP,Điều 33
59,"Theo nghị định 71/ 2024, chuyển nhượng trên thị trường được hiểu như thế nào","Là chuyển nhượng quyền sử dụng đất khi đã thực hiện thủ tục về thuế, phí, lệ phí tại cơ quan thuế hoặc đã đăng ký biến động tại văn phòng đăng ký đất đai hoặc đã ký hợp đồng chuyển nhượng giữa chủ đầu tư dự án bất động sản, nhà ở thương mại với khách hàng theo quy định của pháp luật","Là chuyển nhượng quyền sử dụng đất hoặc chuyển nhượng quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất khi đã thực hiện thủ tục về thuế, phí, lệ phí tại cơ quan thuế hoặc đã đăng ký biến động tại văn phòng đăng ký đất đai hoặc đã ký hợp đồng chuyển nhượng giữa chủ đầu tư dự án bất động sản, nhà ở thương mại với khách hàng theo quy định của pháp luật","Là tập hợp các giao dịch chuyển nhượng quyền sử dụng đất khi đã thực hiện thủ tục về thuế, phí, lệ phí tại cơ quan thuế hoặc đã đăng ký biến động tại văn phòng đăng ký đất đai hoặc đã ký hợp đồng chuyển nhượng giữa chủ đầu tư dự án bất động sản, nhà ở thương mại với khách hàng theo quy định của pháp luật","Là tập hợp các giao dịch chuyển nhượng quyền sử dụng đất hoặc chuyển nhượng quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất khi đã thực hiện thủ tục về thuế, phí, lệ phí tại cơ quan thuế hoặc đã đăng ký biến động tại văn phòng đăng ký đất đai hoặc đã ký hợp đồng chuyển nhượng giữa chủ đầu tư dự án bất động sản, nhà ở thương mại với khách hàng theo quy định của pháp luật",,B,Nghị định 71/2024/NĐ-CP,Điều 3
60,"Thứ tự ưu tiên thu thập thông tin của các tài sản so sánh
a. Tương đồng nhất định về các yếu tố ảnh hưởng đến giá
b. Có khoảng cách gần nhất đến thửa đất, khu đất cần định giá và không bị giới hạn bởi địa giới hành chính của các đơn vị hành chính cấp xã, huyện trong địa bàn hành chính cấp tỉnh.
c. Thông tin gần nhất với thời điểm định giá đất", a - b - c, b - c - a, c - a - b, c - b - a,Tất cả đều sai,C,Nghị định 71/2024/NĐ-CP,"Điểm 3, Điều 4"
61,Theo Thông tư số 32/2024/TT-BTC ngày 16 tháng 5 năm 2024 của Bộ trưởng Bộ Tài chính. Tài sản so sánh được hiểu là gì?,Là tài sản giống hệt về vị trí với tài sản thẩm định giá,Là tài sản tương tự về hiện trạng thực tế với tài sản thẩm định giá,Là tài sản giống hệt hoặc tài sản tương tự với tài sản thẩm định giá,Là tài sản giống hệt và tài sản tương tự với tài sản thẩm định giá,Tất cả các phương án trên,C,Thông tư 32/2024/TT-BTC Chuẩn mực thẩm định giá Việt Nam về cách tiếp cận từ Thu nhập ,Khoản 1 Điều 3
62,Theo Thông tư số 32/2024/TT-BTC ngày 16 tháng 5 năm 2024 của Bộ trưởng Bộ Tài chính.Tài sản tương tự là gì?,"Là tài sản cùng loại và tương đồng với tài sản thẩm định giá về mục đích sử dụng, công dụng, đặc điểm pháp lý, điều kiện kinh doanh, cơ sở hạ tầng và các yếu tố khác (nếu có)","Là tài sản cùng loại và tương đồng với tài sản thẩm định giá về mục đích sử dụng, công dụng, đặc điểm pháp lý, vị trí, hình dạng, cơ sở hạ tầng và các yếu tố khác (nếu có)","Là tài sản tương đồng với tài sản thẩm định giá về mục đích sử dụng, công dụng, hiện trạng pháp lý, đặc điểm về kinh tế - kỹ thuật và các yếu tố khác (nếu có)","Là tài sản cùng loại và tương đồng với tài sản thẩm định giá về mục đích sử dụng, công dụng, đặc điểm pháp lý, đặc điểm về kinh tế - kỹ thuật, đặc trưng cơ bản của tài sản thẩm định giá và các yếu tố khác (nếu có)","Là tài sản cùng loại hoặc tương đồng với tài sản thẩm định giá về mục đích sử dụng, công dụng, đặc điểm pháp lý, vị trí, hình dạng, cơ sở hạ tầng và các yếu tố khác (nếu có)",D,Thông tư 32/2024/TT-BTC Chuẩn mực thẩm định giá Việt Nam về cách tiếp cận từ Thu nhập ,Khoản 2 Điều 3
63,Theo Thông tư số 32/2024/TT-BTC ngày 16 tháng 5 năm 2024 của Bộ trưởng Bộ Tài chính. Tổng giá trị điều chỉnh thuần là:,Tổng mức điều chỉnh theo các yếu tố so sánh về giá trị tuyệt đối,Tổng mức điều chỉnh theo các yếu tố so sánh có tính đến dấu âm ,"Tổng mức điều chỉnh theo các yếu tố so sánh có tính đến dấu âm (điều chỉnh giảm) và dấu dương (điều chỉnh tăng), nghĩa là không xét về giá trị tuyệt đối của mỗi lần điều chỉnh",Tổng mức điều chỉnh theo các yếu tố so sánh có tính đến dấu  dương ,Tổng mức điều chỉnh theo các yếu tố so sánh có tính đến dấu âm và dấu dương.,C,Thông tư 32/2024/TT-BTC Chuẩn mực thẩm định giá Việt Nam về cách tiếp cận từ Thu nhập ,Khoản 2 Điều 3
64,"Theo Thông tư số 32/2024/TT-BTC ngày 16 tháng 5 năm 2024 của Bộ trưởng Bộ Tài chính, phương pháp so sánh xác định giá trị của tài sản thẩm định giá dựa trên cơ sở nào?","Đối chiếu, phân tích và điều chính các yếu tố so sánh của các tài sản so sánh với tài sản thẩm định giá từ đó điều chỉnh mức giá của các tài sản so sánh làm cơ sở ước tính giá trị của tài sản thẩm định giá","Đối chiếu, phân tích và nhận định các yếu tố so sánh của các tài sản so sánh với tài sản thẩm định giá từ đó điều chỉnh mức giá của các tài sản so sánh làm cơ sở ước tính giá trị của tài sản thẩm định giá","Đối chiếu, phân tích và thu thập các yếu tố so sánh của các tài sản so sánh với tài sản thẩm định giá từ đó điều chỉnh mức giá của các tài sản so sánh làm cơ sở ước tính giá trị của tài sản thẩm định giá","Đối chiếu, phân tích và đánh giá các yếu tố so sánh của các tài sản so sánh với tài sản thẩm định giá từ đó điều chỉnh mức giá của các tài sản so sánh làm cơ sở ước tính giá trị của tài sản thẩm định giá",Là nhận định các yếu tố so sánh của các tài sản so sánh với tài sản thẩm định giá từ đó điều chỉnh mức giá của các tài sản so sánh làm cơ sở ước tính giá trị của tài sản thẩm định giá,D,Thông tư 32/2024/TT-BTC Chuẩn mực thẩm định giá Việt Nam về cách tiếp cận từ Thu nhập ,Khoản 1 Điều 5
65,Theo Thông tư số 32/2024/TT-BTC ngày 16 tháng 5 năm 2024 của Bộ trưởng Bộ Tài chính. Một tài sản được coi là có hoạt động chuyển nhượng hoặc chào mua hoặc chào bán công khai trên thị trường khi thu thập được?,"Ít nhất 03 tài sản so sánh từ các tổ chức, cá nhân khác nhau đã chuyển nhượng hoặc được chào mua hoặc chào bán trên thị trường gần thời điểm thẩm định giá và địa điểm của tài sản thẩm định giá","Ít nhất 03 tài sản so sánh từ các tổ chức, cá nhân đã chuyển nhượng hoặc được chào mua hoặc chào bán trên thị trường gần thời điểm thẩm định giá và địa điểm của tài sản thẩm định giá","Ít nhất 03 tài sản so sánh từ các tổ chức, cá nhân khác nhau được chào mua hoặc chào bán trên thị trường gần thời điểm thẩm định giá và địa điểm của tài sản thẩm định giá",Ít nhất 03 tài sản so sánh đã chuyển nhượng hoặc được chào mua hoặc chào bán trên thị trường gần thời điểm thẩm định giá và địa điểm của tài sản thẩm định giá,"Ít nhất 05 tài sản so sánh từ các tổ chức, cá nhân khác nhau đã chuyển nhượng hoặc được chào mua hoặc chào bán trên thị trường gần thời điểm thẩm định giá và địa điểm của tài sản thẩm định giá",A,Thông tư 32/2024/TT-BTC Chuẩn mực thẩm định giá Việt Nam về cách tiếp cận từ Thu nhập ,Khoản 2 Điều 5
66,"Theo Thông tư số 32/2024/TT-BTC ngày 16 tháng 5 năm 2024 của Bộ trưởng Bộ Tài chính, nội dung thực hiện PP so sánh gồm:",Khảo sát và thu thập thông tin về tài sản so sánh; Phân tích thông tin; , Điều chỉnh sự khác biệt giữa tài sản thẩm định giá với tài sản so sánh; ,Xác định mức giá chỉ dẫn của các tài sản so sánh; Xác định mức giá của tài sản thẩm định giá,Phương án A và B đều đúng,Phương án A + B + C,E,Thông tư 32/2024/TT-BTC Chuẩn mực thẩm định giá Việt Nam về cách tiếp cận từ Thu nhập ,Khoản 3 Điều 5
67,"Yêu cầu việc khảo sát và thu thập thông tin về tài sản so sánh theo Thông tư số 32/2024/TT-BTC ngày 16 tháng 5 năm 2024 của Bộ trưởng Bộ Tài chính,",Thông tin thu thập về các tài sản so sánh phải đảm bảo khách quan đúng theo thực tế ,Số lượng thông tin thu thập phải bảo đảm ít nhất 03 tài sản so sánh,Thời điểm chuyển nhượng hoặc thời điểm chào mua hoặc chào bán diễn ra tại hoặc gần nhất với thời điểm thẩm định giá nhưng không quá 24 tháng tính từ thời điểm thẩm định giá trở về trước,Phương án A và C đều đúng,Tất cả các phương án trên,E,Thông tư 32/2024/TT-BTC Chuẩn mực thẩm định giá Việt Nam về cách tiếp cận từ Thu nhập ,Khoản 2 Điều 6
68,Theo Thông tư số 32/2024/TT-BTC ngày 16 tháng 5 năm 2024 của Bộ trưởng Bộ Tài chính thì thông tin về tài sản so sánh được thu thập từ:,Các hợp đồng; hóa đơn; chứng từ mua bán; các kết quả giao dịch thành công trên các sàn giao dịch; các phương tiện thông tin đại chúng;,"Điện thoại các phiếu điều tra thực tế thị trường; các mức giá ghi trong các văn bản của các cơ quan nhà nước, các doanh nghiệp sản xuất, kinh doanh; kết quả trúng đấu giá, đấu thầu theo quy định; ","Phỏng vấn trực tiếp; email hoặc mạng internet; cơ sở dữ liệu về giá của các cơ quan nhà nước, các tổ chức, các doanh nghiệp và từ các nguồn khác theo quy định (nếu có).",Phương án B và C đều đúng,Tất cả các phương án trên,E,Thông tư 32/2024/TT-BTC Chuẩn mực thẩm định giá Việt Nam về cách tiếp cận từ Thu nhập ,Khoản 2 Điều 6
69,Theo Thông tư số 32/2024/TT-BTC ngày 16 tháng 5 năm 2024 của Bộ trưởng Bộ Tài chính thì việc phân tích thông tin theo các yếu tố so sánh giữa tài sản thẩm định giá với tài sản so sánh được thực hiện thông qua hình thức:,"Phân tích theo cặp, phân tích thống kê, phân tích hồi quy",Phân tích định tính (phân tích theo số lượng) và phân tích định lượng (phân tích theo chất lượng),Phân tích thống kê và phân tích hồi quy,Phân tích định tính và phân tích so sánh tương quan,Phân tích thống kê và phân tích so sánh tương quan,B,Thông tư 32/2024/TT-BTC Chuẩn mực thẩm định giá Việt Nam về cách tiếp cận từ Thu nhập ,Khoản 3 Điều 7
70,Thứ tự khi điều chỉnh sự khác biệt giữa tài sản thẩm định giá với tài sản so sánh theo Thông tư số 32/2024/TT-BTC ngày 16 tháng 5 năm 2024 của Bộ trưởng Bộ Tài chính.,"Các yếu tố so sánh định lượng sau, các yếu tố so sánh định tính  trước",Điều chỉnh đồng thời các yếu tố so sánh định lượng  và các yếu tố so sánh định tính ,"các yếu tố so sánh định lượng  trước, các yếu tố so sánh định tính sau",Tất cả các phương án trên,Chỉ có phương án A và B đúng,C,Thông tư 32/2024/TT-BTC Chuẩn mực thẩm định giá Việt Nam về cách tiếp cận từ Thu nhập ,Khoản 2 Điều 8
71,Nguyên tắc điều chỉnh trong PP so sánh  theo Thông tư số 32/2024/TT-BTC ngày 16 tháng 5 năm 2024 của Bộ trưởng Bộ Tài chính.,Lấy các yếu tố so sánh của tài sản thẩm định giá làm chuẩn để làm cơ sở điều chỉnh; ,Khi điều chỉnh giá theo sự khác biệt của một yếu tố so sánh thì cố định những yếu tố so sánh còn lại (coi như giống nhau) ,Những yếu tố ở tài sản thẩm định giá giống với tài sản so sánh thì giữ nguyên mức giá của tài sản so sánh (không điều chỉnh).,Phương án A và B đúng,Tất cả các phương án trên,E,Thông tư 32/2024/TT-BTC Chuẩn mực thẩm định giá Việt Nam về cách tiếp cận từ Thu nhập ,Khoản 2 Điều 8
72,Theo thời hạn có hiệu lực của Chứng thư thẩm định giá,Tối đa không quá 3 (Ba) tháng kể từ thời điểm phát hành chứng thư thẩm định giá,Tối đa không quá 6 (sáu) tháng kể từ thời điểm phát hành chứng thư thẩm định giá,Tối đa không quá 9 (chín) tháng kể từ thời điểm phát hành chứng thư thẩm định giá,Tối đa không quá 12 (mười hai) tháng kể từ thời điểm phát hành chứng thư thẩm định giá,Tối đa không quá 15 (mười lăm) tháng kể từ thời điểm phát hành chứng thư thẩm định giá,B,Thông tư số 30/2024/TT-BTC ngày 16 tháng 5 năm 2024 của Bộ trưởng Bộ Tài chính,Khoản 2 Điều 7
73,"Ba tài sản so sánh có số lần điều chỉnh lần lượt là 3 lần; 2 lần và 2 lần. Biết tổng tỷ lệ điều chỉnh thuần của chúng lần lượt là: -30%; + 35% và -20%, và tổng tỷ lệ điều chỉnh gộp của chúng lần lượt là: 30%, 35% và 40%. Các yếu tố điều chỉnh của tài sản so sánh 3 là:",Cùng dấu +,Cùng dấu -,Bao gồm dấu + và dấu -,Không xác định được dấu các điều chỉnh,xác định được dấu các điều chỉnh,C,,
74,Nguyên tắc thay thế trong thẩm định giá có nghĩa là,"Khi hai tài sản có tính hữu ích như nhau, tài sản nào chào bán ở mức giá thấp nhất thì tài sản đó sẽ bán được trước","Giới hạn trên của giá trị tài sản có xu hướng được thiết lập bởi chi phí mua một tài sản thay thế cần thiết tương đương, với điều kiện không có sự chậm trễ quá mức làm ảnh hưởng đến sự thay thế",Một người mua thận trọng sẽ không trả giá cao hơn chi phí mua một tài sản thay thế trong cùng một thị trường và một thời điểm,Tất cả các đáp án còn lại đều ĐÚNG,Tất cả các đáp án còn lại đều Sai,D,,
75,Mức điều chỉnh cho yếu tố không lượng hóa được bằng tiền trong phương pháp so sánh theo chuẩn mực định giá của Việt Nam được tính bằng,Tỷ lệ điều chỉnh * Đơn giá sau điều chỉnh yếu tố liền trước,Tỷ lệ điều chỉnh * Đơn giá trước điều chỉnh cho yếu tố không lượng hóa được bằng tiền;,Tỷ lệ điều chỉnh * Đơn giá so sánh quy chuẩn;,Các công thức trên đều SAI,Tỷ lệ điều chỉnh * Đơn giá sau điều chỉnh cho yếu tố không lượng hóa được bằng tiền;,B,,
76,Nguyên tắc thẩm định giá nào dưới đây có thể được vận dụng trong phương pháp so sánh giá bán?,Nguyên tắc tốt nhất và hiệu quả nhất;, Nguyên tắc cung cầu;,Nguyên tắc thay đổi, Bao gồm 3 nguyên tắc A + B + C,Nguyên tắc thay đổi và nguyên tắc thay thế,D,,
77,Công trình xây dựng trên đất có ảnh hưởng thế nào đến giá trị bất động sản,Làm tăng giá trị nhưng không đáng kể so với giá trị đất,Làm tăng giá trị nhưng giá trị tùy vào từng loại công trình xây dựng,Luôn làm tăng giá trị tài sản phụ thuộc vào chất lượng công trình xây dựng,Luôn làm giám giá trị tài sản phụ thuộc vào chất lượng công trình xây dựng,Có thể làm tăng hoặc giám giá trị tài sản phụ thuộc vào chất lượng CTXD,E,,
78,Điều chỉnh yếu tố nào dưới đây là điều chỉnh yếu tố tuyệt đối?,Điều khoản tài chính;,Hình dáng;,Môi trường;,An ninh,Điều kiện xã hội,A,,
79,Phân tích định lượng bao gồm,"Phân tích theo cặp, phân tích thống kê, phân tích hồi quy","Phân tích theo cặp, phân tích thống kê, phân tích so sánh tương quan","Phân tích theo cặp, phân tích xếp hạng và phỏng vấn các bên liên quan","Phân tích thống kê, phân tích hồi quy, phân tích so sánh tương quan.","Phân tích thống kê, phân tích hồi quy",A,Thông tư 32/2024/TT-BTC Chuẩn mực thẩm định giá Việt Nam về cách tiếp cận từ Thu nhập ,Khoản 2 Điều 8
80,Phân tích định tính bao gồm,Phân tích xếp hạng và phỏng vấn các bên liên quan,"Phân tích theo cặp, Phân tích xếp hạng và phỏng vấn các bên liên quan","Phân tích thống kê, Phân tích hồi quy",Phân tích chi phí và các phương pháp phân tích tương tự khác để tìm ra mức điều chỉnh là số tiền hoặc tỷ lệ phần trăm (%);,"Phân tích so sánh tương quan, phân tích xếp hạng và phỏng vấn các bên liên quan",E,Thông tư 32/2024/TT-BTC Chuẩn mực thẩm định giá Việt Nam về cách tiếp cận từ Thu nhập ,Khoản 2 Điều 8
81,Thứ tự điều chỉnh nhóm yếu tố so sánh,Nhóm yếu tố so sánh về đặc điểm pháp lý và tình trạng giao dịch của tài sản trước,Điều chỉnh nhóm yếu tố so sánh về đặc điểm kinh tế - kỹ thuật của tài sản trước,"Nhóm yếu tố so sánh về đặc điểm pháp lý và tình trạng giao dịch của tài sản sau, điều chỉnh nhóm yếu tố so sánh về đặc điểm kinh tế - kỹ thuật của tài sản trước.","Nhóm yếu tố so sánh về đặc điểm pháp lý và tình trạng giao dịch của tài sản trước, điều chỉnh nhóm yếu tố so sánh về đặc điểm kinh tế - kỹ thuật của tài sản sau",Điều chỉnh đồng thời các yếu tố so sánh về đặc điểm pháp lý và tình trạng giao kỹ thuật của tài sản.,D,Thông tư 32/2024/TT-BTC Chuẩn mực thẩm định giá Việt Nam về cách tiếp cận từ Thu nhập ,Khoản 2 Điều 8
82,Thứ tự điều chỉnh giá tài sản so sánh theo từng nhóm yếu tố,"Điều chỉnh theo tỷ lệ phần trăm trước, điều chỉnh tuyệt đối sau.","Số tiền tuyệt đối trước, điều chỉnh theo tỷ lệ phần trăm sau",Điều chỉnh kết hợp giữa tỷ lệ phần trăm và số tiền tuyệt đối,"Ba đáp án A, B, C trên không đúng","Ba đáp án A, B, C đều đúng",B,Thông tư 32/2024/TT-BTC Chuẩn mực thẩm định giá Việt Nam về cách tiếp cận từ Thu nhập ,Khoản 2 Điều 8
83,Nguyễn tắc điều chỉnh với mức giá chỉ dẫn,Bảo đảm tổng giá trị điều chỉnh thuần không quá 15%,Bảo đảm chênh lệch giữa mỗi mức giá chỉ dẫn với mức giá trung bình của các mức giá chỉ dẫn không quá 15%,Bảo đảm tổng giá trị điều chỉnh gộp không quá 15%,"Ba đáp án A, B, C trên không đúng","Ba đáp án A, B, C đều đúng",B,Thông tư 32/2024/TT-BTC Chuẩn mực thẩm định giá Việt Nam về cách tiếp cận từ Thu nhập ,Khoản 2 Điều 8
84,"Theo Thông tư số 32/2024/TT-BTC ngày 16 tháng 5 năm 2024 của Bộ trưởng Bộ Tài chính, nguyễn tắc điều chỉnh sự khác biệt giữa tài sản thẩm định giá với tài sản so sánh được hiểu là:",Lấy các yếu tố của tài sản so sánh làm chuẩn để làm cơ sở điều chỉnh giá của tài sản thẩm định ,Tùy vào quan điểm có thế lấy các yếu tố của tài sản so sánh hoặc tài sản thẩm định để làm cơ sở điều chỉnh giá ,Lấy các yếu tố so sánh của tài sản thẩm định giá làm chuẩn để làm cơ sở điều chỉnh giá của tài sản so sánh theo các yếu tố so sánh của tài sản thẩm định giá,Tất cả các đáp án trên đều Đúng,Tất cả các đáp án trên đều SAI,C,Thông tư 32/2024/TT-BTC Chuẩn mực thẩm định giá Việt Nam về cách tiếp cận từ Thu nhập ,Khoản 2 Điều 8
85,"Theo Thông tư số 32/2024/TT-BTC ngày 16 tháng 5 năm 2024 của Bộ trưởng Bộ Tài chính, kết quả khảo sát và thu thập thông tin về tài sản so sánh phải được thể hiện và lưu trữ dưới dạng:",Phiếu thu thập thông tin và ảnh chụp tài sản,Phiếu thu thập thông tin và các thông số về tài sản so sánh,Phiếu thu thập thông tin và chữ ký của người cung cấp thông thi,Phiếu thu thập thông tin về tài sản so sánh kèm theo chữ ký của người thu thập thông tin,Phiếu thu thập thông tin và ảnh chụp về hiện trang xung quanh,D,Thông tư 32/2024/TT-BTC Chuẩn mực thẩm định giá Việt Nam về cách tiếp cận từ Thu nhập ,Khoản 3 Điều 6
86,"Theo Thông tư số 32/2024/TT-BTC ngày 16 tháng 5 năm 2024 của Bộ trưởng Bộ Tài chính, việc khảo sát và thu thập thông tin về tài sản so sánh phải đáp ứng các yêu cầu:","1. Đảm bảo khách quan phù hợp với hiện trạng pháp lý.
2. Ưu tiên lựa chọn các thông tin phát sinh gần nhất với thời điểm thẩm định giá và địa điểm của tài sản thẩm định giá","1. Đảm bảo khách quan đúng theo thực tế; 
2. Ưu tiên lựa chọn các thông tin phát sinh gần nhất với thời điểm thẩm định giá và địa điểm của tài sản thẩm định giá","1. Đảm bảo khách quan, trung thực, phù hợp giữa hiện trạng thực tế và hiện trạng pháp lý; 
2. Ưu tiên lựa chọn các thông tin phát sinh gần nhất với thời điểm thẩm định giá.","1. Đảm bảo khách quan, trung thực, phù hợp giữa hiện trạng thực tế và hiện trạng pháp lý; 
2.  Ưu tiên lựa chọn các thông tin phát sinh gần nhất với địa điểm của tài sản thẩm định giá.","1. Đảm bảo khách quan, trung thực, phù hợp giữa hiện trạng thực tế và hiện trạng pháp lý; 
",B,Thông tư 32/2024/TT-BTC Chuẩn mực thẩm định giá Việt Nam về cách tiếp cận từ Thu nhập ,Khoản 2 Điều 6
87,"Tài sản so sánh là một căn nhà phố có diện tích sàn xây dựng là 200m2 được giao dịch thành công với giá 3,9 tỷ đồng. Chi phí thay thế tài sản hữu ích tương tự là 6 triệuđồng/m2. Hao mòn lũy kế của tài sản so sánh là 25%. Giá trị của đất của tài sản so sánh là:",2.900 triệu đồng;,3.000 triệu đồng;,3.100 triệu đồng;,2.950 triệu đồng;,Tất cả các đáp án còn lại đều SAI.,B,,
88,Bất động sản so sánh có đơn giá chuẩn là 100 triệu đồng/m2 ở khu vực ngập lụt trong khi bất động sản thẩm định giá ở khu vực không ngập lụt. Biết tương quan về tình trạng ngập lụt như sau: khu vực ngập lụt thấp hơn khu vực không ngập lụt là 5%. Tỷ lệ điều chỉnh cho yếu tố tình trạng ngập lụt của bất động sản so sánh là:," -5,26%;"," +5,26%;", -5%;, +5%;, 5%;,B,,
89,Bất động sản thẩm định giá diện tích 20m2 trong khi bất động sản so sánh diện tích 50m2 có đơn giá chuẩn là 100 triệu đồng/m2. Biết đơn giá của bất động sản có diện tích dưới 30m2 cao hơn bất động sản có diện tích lớn 30m2 là 15%. Mức điều chỉnh cho yếu tố quy mô diện tích là:, - 15 triệu đồng/m2, + 15 triệu đồng/m2, -17.65 triệu đồng/m2, +17.65 triệu đồng/m2, 15 triệu đồng/m2,D,,
90,Bất động sản thẩm định giá hướng Đông Nam trong khi bất động sản so sánh hướng Tây có đơn giá chuẩn là 100 triệu đồng/m2. Biết tương quan hướng như sau: hướng Đông Nam hướng Tây 3%. Tỷ lệ điều chỉnh cho yếu tố hướng của bất động sản so sánh là:, -3%;,-3.09%, +3.09%;, +3%;, 3%;,C,,
91,Bất động sản so sánh hướng Đông Nam có đơn giá chuẩn là 100 triệu đồng/m2 trong khi bất động sản thẩm định giá hướng Tây. Biết tương quan hướng Đông Nam cao  hướng Tây 7%. Giá sau điều chỉnh cho yếu tố hướng của bất động sản so sánh là:,93 triệu đồng/m2,"93,46 triệu đồng/m2","106,54 triệu đồng/m2",103 triệu đồng/m2,105 triệu đồng/m2,B,,
92,Bất động sản thẩm định giá ở khu vực an ninh trong khi bất động sản so sánh có đơn giá chuẩn là 100 triệu đồng/m2 ở khu vực mất an ninh. Biết tương quan về tình trạng an ninh như sau: khu vực an ninh cao hơn khu vực mất an ninh là 25%. Giá sau điều chỉnh cho yếu tố an ninh của bất động sản so sánh là:,75 triệu đồng/m2;,80 triệu đồng/m2;,120 triệu đồng/m2;,133 triệu đồng/m2;,85 triệu đồng/m2;,D,,
93,Bất động sản so sánh có đơn giá chuẩn là 100 triệu đồng/m2 ở cạnh cây xăng trong khi bất động sản thẩm định giá ở cạnh trụ sở ngân hàng. Biết đơn giá đất của bất động sản ở cạnh cây xăng thấp hơn đơn giá đất của bất động sản không ở cạnh cây xăng là 20%. Giá sau điều chỉnh của bất động sản so sánh là:,75 triệu đồng/m2,125 triệu đồng/m2,120 triệu đồng/m2,80 triệu đồng/m2,95 triệu đồng/m2,B,,
94,Một thiết bị so sánh có 3 yếu tố so sánh với các mức điều chỉnh lần lượt là -10 triệu đồng; 20 triệu đồng và - 40 triệu đồng. Tổng mức điều chỉnh thuần của tài sản so sánh này là:, -30 triệu đồng;, +30 triệu đồng;, 70 triệu đồng;,75 triệu đồng,Các đáp án trên đều SAI,A,,
95,Bất động sản thẩm định giá có chiều rộng mặt tiền là 4m. Bất động sản so sánh chiều rộng mặt tiền là 6m có đơn giá chuẩn là 100 triệu đồng/m2. Biết đơn giá đất của bất động sản có chiều rộng mặt tiền 6m cao hơn bất động sản có chiều rộng mặt tiền 4m là 20%. Tỷ lệ điều chỉnh cho yếu tố chiều rộng mặt tiền là:," +16,67%;", -20%;," -16,67%;", +20%;,23%,c,,
96,Bất động sản so sánh diện tích 20m2 có đơn giá chuẩn là 100 triệu đồng/m2 trong khi bất động sản thẩm định diện tích 50m2. Biết đơn giá của bất động sản có diện tích dưới 30m2 cao hơn bất động sản có diện tích lớn 30m2 là 6%. Mức điều chỉnh cho yếu tố quy mô diện tích là," - 4,76 triệu đồng/m2;"," + 4,76 triệu đồng/m2;",  +3 triệu đồng/m2;,  -3 triệu đồng/m2;,Các đáp án trên đều SAI,A,,
97,Bất động sản so sánh có đơn giá chuẩn là 100 triệu đồng/m2 ở vị trí lô góc trong khi bất động sản thẩm định giá không ở vị trí lô góc. Biết tương quan về vị trí như sau: vị trí lô góc cao hơn ví trí lô không góc là 15%. Giá sau điều chỉnh cho yếu tố vị trí lô góc của bất động sản so sánh là:,85 triệu đồng/m2;,"86,96 triệu đồng/m2;","113,04 triệu đồng/m2",115 triệu đồng/m2.,118 triệu đồng/m2.,B,,
98,Bất động sản thẩm định giá tóp hậu trong khi bất động sản so sánh nở hậu có đơn giá chuẩn là 100 triệu đồng/m2. Biết đơn giá đất của bất động sản tóp hậu thấp hơn bất động sản vuông vức 10% và đơn giá đất của bất động sản nở hậu cao hơn bất động sản vuông vức 5%. Mức điều chỉnh cho yếu tố hình dáng là," -13,42 triệu đồng/m2;"," +13,42 triệu đồng/m2;"," -16,67 triệu đồng/m2;"," +16,67 triệu đồng/m2;"," +15,67 triệu đồng/m2;",A,,
99,Bất động sản thẩm định ở khu vực ngập lụt trong khi bất động sản so sánh có đơn giá chuẩn là 100 triệu đồng/m2 ở khu vực không ngập lụt. Biết tương quan về tình trạng ngập lụt như sau: khu vực ngập lụt thấp hơn khu vực không ngập lụt là 10%. Mức điều chỉnh cho yếu tố tình trạng ngập lụt của bất động sản so sánh là:, -9.09 triệu đồng/m2;," +9,09 triệu đồng/m2;", +10 triệu đồng/m2;, -10 triệu đồng/m2;, +11 triệu đồng/m2;,A,,
